"SAM","SPC","FISH","FLEN","TLEN","SEX"
2,"121",6,62,NA,"9"
2,"121",4,77,NA,"9"
1,"061",29,138,NA,"2"
1,"121",31,99,NA,"2"
2,"121",3,126,NA,"2"
1,"121",18,136,NA,"2"
1,"121",20,126,NA,"2"
1,"081",3,679,NA,"1"
1,"061",6,133,NA,"2"
1,"121",8,120,NA,"2"
1,"121",13,126,NA,"2"
1,"061",9,131,NA,"1"
1,"121",21,109,NA,"1"
1,"061",19,131,NA,"1"
1,"121",4,130,NA,"2"
1,"061",14,139,NA,"1"
1,"061",7,108,NA,"1"
1,"061",4,134,NA,"1"
2,"380",1,NA,76,"2"
1,"061",13,124,NA,"1"
1,"121",32,92,NA,"9"
1,"081",2,373,NA,"1"
1,"061",23,132,NA,"2"
1,"121",38,96,NA,"9"
2,"061",4,123,NA,"1"
3,"061",3,153,NA,"2"
1,"121",27,92,NA,"9"
1,"121",22,100,NA,"9"
1,"061",18,120,NA,NA
1,"121",39,99,NA,"2"
2,"121",5,66,NA,"9"
1,"061",1,148,NA,"2"
1,"061",24,140,NA,"2"
1,"121",16,128,NA,"2"
2,"081",1,670,NA,"2"
1,"061",28,120,NA,"2"
1,"061",12,140,NA,"2"
1,"121",1,107,NA,"2"
1,"061",8,145,NA,"2"
1,"121",9,119,NA,"1"
2,"093",1,262,NA,"1"
1,"061",31,113,NA,"1"
1,"121",36,119,NA,"1"
1,"121",30,120,NA,"1"
1,"061",25,135,NA,"1"
1,"081",1,366,NA,"1"
1,"121",24,89,NA,"9"
2,"061",5,150,NA,"2"
1,"121",3,116,NA,"1"
2,"121",1,140,NA,"2"
1,"061",20,135,NA,"2"
1,"061",15,144,NA,"2"
1,"121",5,123,NA,"2"
1,"121",44,83,NA,"9"
1,"061",26,147,NA,"2"
1,"121",7,114,NA,"9"
1,"121",11,111,NA,"1"
1,"121",2,125,NA,"2"
2,"061",1,126,NA,"2"
1,"121",35,100,NA,"9"
1,"121",23,94,NA,"2"
1,"121",26,132,NA,"9"
1,"121",15,95,NA,"1"
2,"061",7,120,NA,"2"
1,"061",30,108,NA,"1"
1,"061",32,108,NA,"2"
1,"061",22,138,NA,"2"
1,"121",14,102,NA,"9"
2,"061",6,121,NA,"1"
3,"061",2,155,NA,"2"
1,"121",43,89,NA,"2"
1,"061",5,132,NA,"2"
1,"121",28,116,NA,"1"
1,"061",3,126,NA,"2"
1,"121",12,112,NA,"2"
2,"061",2,124,NA,"2"
1,"061",10,113,NA,"1"
1,"121",19,105,NA,"2"
2,"061",3,146,NA,"2"
1,"091",1,428,NA,"1"
2,"121",2,140,NA,"2"
1,"121",17,130,NA,"2"
1,"121",25,116,NA,"2"
1,"121",34,104,NA,"1"
2,"331",1,98,NA,"2"
1,"121",42,78,NA,"9"
1,"121",29,120,NA,"2"
1,"121",10,106,NA,"2"
1,"121",41,90,NA,"9"
1,"061",27,113,NA,"1"
1,"121",33,111,NA,"2"
1,"121",37,95,NA,"2"
1,"061",2,135,NA,"2"
1,"121",40,96,NA,"2"
1,"061",17,150,NA,"2"
1,"061",11,146,NA,"2"
1,"061",16,128,NA,"2"
1,"121",6,131,NA,"9"
1,"061",21,115,NA,"2"
3,"061",1,152,NA,"2"
